phone_no,candidate_ID
5927895420,20000
6259797250,30001
6354294320,10002
6373334290,10006
6374599650,10003
6543904808,40000
6597654100,10007
6678794320,30004
6867296860,20002
6945083290,40000
7864829801,40001
7868394884,40004
7908106006,20006
8109604860,20003
8267652090,10001
8268624520,40005
8297604290,30000
8374389439,10000
8376506501,20001
8399377009,40003
8762506438,30002
8766205493,20005
8897943276,10005
8905400680,30003
8909806333,30005
9276354290,10001
9296599290,20002
9296876540,20004
9309309300,10008
9394806430,30003
9424685439,10004
9656426106,40002
9912093609,10005
